 Distance Design        Paper flaps   Weight Rep
    20.25   Dart       Copier Flaps   Weight   4
    26.42   Dart       Copier  None   Weight   1
    24.67   Dart Construction Flaps   Weight   1
     8.00 Glider Construction  None   Weight   4
    22.25   Dart       Copier  None   Weight   4
    21.17   Dart Construction  None NoWeight   3
    17.25 Glider Construction Flaps NoWeight   4
     8.42 Glider       Copier  None   Weight   2
    10.17 Glider       Copier  None NoWeight   1
    21.25   Dart       Copier Flaps   Weight   2
    11.00 Glider       Copier Flaps   Weight   1
    11.17 Glider Construction Flaps   Weight   2
    10.58 Glider Construction  None NoWeight   2
    21.50   Dart Construction Flaps NoWeight   4
    10.42 Glider Construction  None   Weight   1
    16.08   Dart Construction  None   Weight   4
    10.42 Glider       Copier Flaps NoWeight   3
    22.17   Dart       Copier  None   Weight   3
    21.75   Dart       Copier  None NoWeight   1
    19.75   Dart Construction  None NoWeight   2
    10.83 Glider Construction  None NoWeight   3
    27.75   Dart Construction Flaps   Weight   3
    20.92   Dart Construction Flaps NoWeight   1
     7.50 Glider       Copier  None   Weight   4
    12.00 Glider       Copier Flaps   Weight   2
    10.42 Glider       Copier  None   Weight   3
    20.33   Dart Construction  None   Weight   2
    11.00 Glider       Copier Flaps   Weight   4
    11.75 Glider       Copier  None NoWeight   3
    24.08   Dart Construction  None NoWeight   1
    11.42 Glider Construction  None NoWeight   4
    18.50   Dart       Copier Flaps NoWeight   3
    22.75   Dart       Copier  None NoWeight   2
    17.75   Dart Construction Flaps NoWeight   3
    18.17   Dart       Copier Flaps   Weight   1
     9.25 Glider Construction  None   Weight   3
    26.33   Dart Construction Flaps   Weight   4
    18.00   Dart       Copier Flaps NoWeight   4
    13.08 Glider Construction Flaps NoWeight   3
    20.75   Dart       Copier Flaps   Weight   3
    12.42 Glider Construction Flaps NoWeight   2
    17.58 Glider Construction Flaps NoWeight   1
    11.83 Glider       Copier  None NoWeight   4
    19.17   Dart       Copier Flaps NoWeight   2
    23.25   Dart Construction  None NoWeight   4
     9.92 Glider Construction  None NoWeight   1
    13.75 Glider Construction Flaps   Weight   3
    15.83 Glider       Copier Flaps NoWeight   1
    27.83   Dart       Copier  None NoWeight   4
    18.67   Dart Construction  None   Weight   1
