 Distance Design        Paper flaps   Weight Rep
    24.83   Dart       Copier  None NoWeight   3
    23.25   Dart Construction  None NoWeight   4
    20.92   Dart Construction Flaps NoWeight   1
    11.42 Glider Construction  None NoWeight   4
    21.17   Dart Construction  None NoWeight   3
    18.17   Dart       Copier Flaps   Weight   1
    10.83 Glider Construction  None NoWeight   3
    18.50   Dart       Copier Flaps NoWeight   3
    18.00   Dart       Copier Flaps NoWeight   4
    26.33   Dart Construction Flaps   Weight   4
    13.50 Glider Construction Flaps   Weight   1
    26.42   Dart       Copier  None   Weight   1
    13.75 Glider Construction Flaps   Weight   3
    12.00 Glider       Copier Flaps   Weight   2
    10.42 Glider Construction  None   Weight   1
    16.58 Glider       Copier Flaps NoWeight   2
    21.75   Dart       Copier  None NoWeight   1
     8.42 Glider       Copier  None   Weight   2
    12.00 Glider       Copier Flaps   Weight   3
    11.00 Glider       Copier Flaps   Weight   1
    11.00 Glider       Copier Flaps   Weight   4
    11.75 Glider       Copier  None NoWeight   3
    22.17   Dart       Copier  None   Weight   3
    19.75   Dart Construction  None NoWeight   2
    10.42 Glider       Copier Flaps NoWeight   3
    21.25   Dart       Copier Flaps   Weight   2
    18.67   Dart Construction  None   Weight   1
    22.75   Dart       Copier  None NoWeight   2
    17.58 Glider Construction Flaps NoWeight   1
    22.25   Dart       Copier  None   Weight   4
    17.25 Glider Construction Flaps NoWeight   4
    15.67   Dart Construction Flaps NoWeight   2
    11.83 Glider       Copier  None NoWeight   4
    13.08 Glider Construction Flaps NoWeight   3
    12.42 Glider Construction Flaps NoWeight   2
    20.25   Dart       Copier Flaps   Weight   4
     8.00 Glider Construction  None   Weight   4
    10.42 Glider       Copier  None   Weight   3
    16.08   Dart Construction  None   Weight   4
    13.50 Glider Construction Flaps   Weight   4
    10.17 Glider       Copier  None NoWeight   1
    27.83   Dart       Copier  None NoWeight   4
     9.25 Glider Construction  None   Weight   3
     9.08 Glider       Copier  None   Weight   1
    24.08   Dart Construction  None NoWeight   1
    17.75   Dart Construction Flaps NoWeight   3
    18.33   Dart       Copier Flaps NoWeight   1
    29.08   Dart Construction Flaps   Weight   2
    10.58 Glider Construction  None NoWeight   2
    27.75   Dart Construction Flaps   Weight   3
